¿­1,name,age,marketvalue,2019/2020 league playing time(min),2019/2020 league mean rating
383,Krepin Diatta,21,¢æ20.00m,N/A,N/A
384,Jeremy Doku,18,¢æ20.00m,N/A,N/A
385,Lisandro Martinez,22,¢æ20.00m,2033 ,7.41
386,Eric Garcia,19,¢æ20.00m,791 ,6.69
387,Lucas Paqueta,23,¢æ20.00m,1102 ,6.53
388,Edouard Mendy,28,¢æ20.00m,2160 ,6.95
389,Youcef Atal,24,¢æ20.00m,1006 ,7.15
390,Ryan Sessegnon,20,¢æ20.00m,343 ,6.32
391,Wesley,24,¢æ20.00m,N/A,N/A
392,Patson Daka,22,¢æ20.00m,N/A,N/A
393,Sergino Dest,20,¢æ20.00m,1444 ,6.81
394,Amadou Diawara,23,¢æ20.00m,1523 ,6.71
395,Andre Zambo Anguissa,25,¢æ20.00m,2582 ,7.06
396,Lucas Tousart,23,¢æ20.00m,1762 ,6.90
397,Eddie Nketiah,21,¢æ20.00m,500 ,6.34
398,Unai Nunez,23,¢æ20.00m,1569 ,6.55
399,Joelinton,24,¢æ20.00m,2699 ,6.67
400,Todd Cantwell,22,¢æ20.00m,2504 ,6.59
401,Riqui Puig,21,¢æ20.00m,508 ,6.81
402,Justin Kluivert,21,¢æ20.00m,1554 ,6.73
403,Fikayo Tomori,22,¢æ20.00m,1293 ,6.88
404,Jonathan Bamba,24,¢æ20.00m,1942 ,6.82
405,Mauro Arambarri,25,¢æ20.00m,3072 ,6.73
406,Yerry Mina,26,¢æ20.00m,2282 ,6.83
407,Sofyan Amrabat,24,¢æ20.00m,2929 ,6.77
408,Marc Cucurella,22,¢æ20.00m,3250 ,6.82
409,Tomas Soucek,25,¢æ20.00m,1041 ,7.14
410,Moussa Marega,29,¢æ20.00m,2316 ,7.20
411,Nemanja Maksimovic,25,¢æ20.00m,2898 ,6.71
412,Aleksandr Golovin,24,¢æ20.00m,2069 ,7.11
413,Joan Jordan,26,¢æ20.00m,2267 ,6.94
414,Suat Serdar,23,¢æ20.00m,1605 ,7.31
415,Dean Henderson,23,¢æ20.00m,3240 ,6.72
416,Renato Sanches,23,¢æ20.00m,1482 ,7.13
417,Gelson Martins,25,¢æ20.00m,1682 ,6.86
418,Zeki Celik,23,¢æ20.00m,2070 ,6.73
419,Ayoze Perez,27,¢æ20.00m,2020 ,6.77
420,Diego Llorente,27,¢æ20.00m,2330 ,6.51
421,Enis Bardhi,25,¢æ20.00m,2114 ,6.77
422,Gabriel Barbosa,24,¢æ20.00m,2547 ,7.55
423,Juan Musso,26,¢æ20.00m,3420 ,6.93
424,Alexander Sorloth,24,¢æ20.00m,2990 ,7.57
425,Stefano Sensi,25,¢æ20.00m,727 ,7.11
426,Alex Remiro,25,¢æ20.00m,2250 ,6.61
427,Oleksandr Zinchenko,23,¢æ20.00m,1273 ,6.70
428,Jonathan Tah,24,¢æ20.00m,2090 ,6.90
429,Florian Grillitsch,25,¢æ20.00m,2412 ,6.80
430,Lucas Alario,28,¢æ20.00m,1165 ,6.64
431,Mike Maignan,25,¢æ20.00m,2520 ,6.58
432,Jean-Philippe Gbamin,25,¢æ20.00m,135 ,6.76
433,James Ward-Prowse,26,¢æ20.00m,3420 ,7.15
434,Sardar Azmoun,25,¢æ20.00m,2102 ,7.34
435,Matt Doherty,28,¢æ20.00m,2841 ,6.99
436,Leandro Paredes,26,¢æ20.00m,807 ,6.61
437,Danny Ings,28,¢æ20.00m,2815 ,7.12
438,Suso,27,¢æ20.00m,2146 ,6.79
439,Emil Forsberg,29,¢æ20.00m,1142 ,6.71
440,Stefan Savic,29,¢æ20.00m,1980 ,6.76
441,Chris Smalling,31,¢æ20.00m,2596 ,7.00
442,William Carvalho,28,¢æ20.00m,894 ,6.41
443,Kieran Trippier,30,¢æ20.00m,1981 ,6.99
444,Isco,28,¢æ20.00m,1190 ,6.70
445,Douglas Costa,30,¢æ20.00m,793 ,6.75
446,Marcel Halstenberg,29,¢æ20.00m,2523 ,7.15
