"","name","age","marketvalue"
"399","Joelinton",24,"¢æ20.00m"
"400","Todd Cantwell",22,"¢æ20.00m"
"401","Riqui Puig",21,"¢æ20.00m"
"402","Justin Kluivert",21,"¢æ20.00m"
"403","Fikayo Tomori",22,"¢æ20.00m"
"404","Jonathan Bamba",24,"¢æ20.00m"
"405","Mauro Arambarri",25,"¢æ20.00m"
"406","Yerry Mina",26,"¢æ20.00m"
"407","Sofyan Amrabat",24,"¢æ20.00m"
"408","Marc Cucurella",22,"¢æ20.00m"
"409","Tomas Soucek",25,"¢æ20.00m"
"410","Moussa Marega",29,"¢æ20.00m"
"411","Nemanja Maksimovic",25,"¢æ20.00m"
"412","Aleksandr Golovin",24,"¢æ20.00m"
"413","Joan Jordan",26,"¢æ20.00m"
"414","Suat Serdar",23,"¢æ20.00m"
"415","Dean Henderson",23,"¢æ20.00m"
"416","Renato Sanches",23,"¢æ20.00m"
"417","Gelson Martins",25,"¢æ20.00m"
"418","Zeki Celik",23,"¢æ20.00m"
"419","Ayoze Perez",27,"¢æ20.00m"
"420","Diego Llorente",27,"¢æ20.00m"
"421","Enis Bardhi",25,"¢æ20.00m"
"422","Gabriel Barbosa",24,"¢æ20.00m"
"423","Juan Musso",26,"¢æ20.00m"
"424","Alexander Sorloth",24,"¢æ20.00m"
"425","Stefano Sensi",25,"¢æ20.00m"
"426","Alex Remiro",25,"¢æ20.00m"
"427","Oleksandr Zinchenko",23,"¢æ20.00m"
"428","Jonathan Tah",24,"¢æ20.00m"
"429","Florian Grillitsch",25,"¢æ20.00m"
"430","Lucas Alario",28,"¢æ20.00m"
"431","Mike Maignan",25,"¢æ20.00m"
"432","Jean-Philippe Gbamin",25,"¢æ20.00m"
"433","James Ward-Prowse",26,"¢æ20.00m"
"434","Sardar Azmoun",25,"¢æ20.00m"
"435","Matt Doherty",28,"¢æ20.00m"
"436","Leandro Paredes",26,"¢æ20.00m"
"437","Danny Ings",28,"¢æ20.00m"
"438","Suso",27,"¢æ20.00m"
